"Fatima";2103
"Fatma";524
"Fay";208
"Felicia";398
"Filippa";1125
"Fiona";443
"Fredrikke";445
"Freja";232
"Freya";411
"Frid";294
"Frida";9157
"Fride";738
"Frøya";1326
"Frøydis";1553
"Gabija";.
"Gabriela";740
"Gabriele";366
"Gabriella";514
"Gabrielle";314
"Galina";323
"Gerd";10097
"Gerda";443
"Gina";1716
"Gine";210
"Gintare";250
"Gitte";570
"Gjertrud";817
"Gloria";317
"Grace";424
"Grazyna";230
"Greta";1641
"Grete";8129
"Gretha";437
"Grethe";8295
"Gro";7763
"Gry";4278
"Gudny";279
"Gudrun";1673
"Gudveig";239
"Gun";379
"Gunda";.
"Gunhild";2854
"Gunlaug";.
"Gunn";9424
"Gunnbjørg";283
"Gunnhild";1037
"Gunnlaug";313
"Gunnvor";412
"Gunvor";2678
"Guri";2081
"Guro";4181
"Gyda";378
"Gøril";939
"Hafsa";282
"Hailey";282
"Hala";275
"Haldis";951
"Halima";370
"Halldis";428
"Halyna";591
"Hamdi";.
"Hana";511
"Hanan";372
"Hanna";8643
"Hannah";4004
"Hanne";15646
"Harriet";624
"Hatice";284
"Hedda";6990
"Hedvig";2085
"Hege";12970
"Heidi";15784
"Helen";2785
"Helena";2561
"Helene";11055
"Helga";2856
"Helin";235
"Helle";3064
"Hennie";1398
"Henny";1391
"Henriette";5016
"Henrikke";323
"Herborg";263
"Herdis";583
"Hermine";1691
"Hiba";269
"Hild";294
"Hilda";543
"Hilde";18165
"Hildegunn";1824
"Hildur";790
"Hilma";202
"Hjørdis";981
"Hodan";.
"Hong";218
"Huda";245
"Hulda";222
"Iben";3030
"Ida";20717
"Idun";689
"Idunn";469
"Ieva";356
"Ilona";484
"Iman";676
"Ina";3445
"Ine";2447
"Ines";446
"Inga";2781
"Inge";205
"Ingebjørg";2754
"Ingeborg";6565
"Ingelin";458
"Inger";28589
"Inger-Johanne";.
"Inger-Lise";.
"Inger-Marie";.
"Ingerid";458
"Ingfrid";430
"Inghild";239
"Ingjerd";1120
"Ingri";420
"Ingrid";24320
"Ingrida";.
"Ingun";586
"Ingunn";5748
"Ingvil";253
"Ingvild";6397
"Ingvill";898
"Inna";647
"Iqra";252
"Iren";1114
"Irena";355
"Irene";7368
"Irina";1172
"Iris";2089
"Irma";443
"Irmelin";484
"Iryna";1906
"Isa";326
"Isabel";1806
"Isabell";1672
"Isabella";2222
"Isabelle";1164
"Iselin";3040
"Isra";213
"Ivana";396
"Iwona";607
"Izabela";553
"Jacqueline";293
"Jamila";255
"Jana";613
"Jane";2380
"Janet";424
"Janicke";556
"Janina";203
"Janita";258
"Janne";7475
"Janniche";204
"Jannicke";1970
"Jannike";663
"Jasmin";585
"Jasmina";265
"Jasmine";299
"Jeanett";814
"Jeanette";3942
"Jelena";658
"Jenni";235
"Jennie";455
"Jennifer";838
"Jenny";7926
"Jessica";1159
"Jette";.
"Jill";596
"Joan";205
"Joanna";1448
"Jofrid";353
"Johanna";2713
"Johanne";5379
"Jolanta";683
"Jorid";845
"Jorun";2471
"Jorunn";8679
"Josefine";2874
"Josephine";554
"Judit";236
"Judith";1355
"Julia";4925
"Juliana";244
"Juliane";493
"Julianne";771
"Julie";13878
"June";2813
"Juni";501
"Jurgita";309
"Justyna";723
"Kaia";1350
"Kaisa";613
"Kaja";4581
"Kajsa";528
"Kamila";624
"Kamile";203
"Kamilla";2346
"Karen";5855
"Kari";23765
"Kari-Anne";.
"Karianne";2600
"Karin";10594
"Karina";3226
"Karine";923
"Karla";374
"Karolina";1577
"Karoline";7384
"Katarina";1134
"Katarzyna";1914
"Kate";1277
"Katerina";231
"Kateryna";1387
"Katharina";736
"Kathe";320
"Katherine";252
"Kathinka";262
"Kathrin";255
"Kathrine";3111
"Katinka";399
"Katja";569
"Katrin";518
"Katrina";241
"Katrine";4651
"Kaya";222
"Kelly";238
"Kerstin";444
"Khadija";576
"Kim";668
"Kine";4296
"Kinga";435
"Kira";451
"Kirsten";6469
"Kirsti";4121
"Kitty";454
"Kjellaug";1383
"Kjellfrid";349
"Kjellrun";348
"Kjersti";7394
"Kjerstin";640
"Klara";2185
"Klaudia";562
"Konstanse";205
"Kornelia";680
"Kristel";221
"Kristi";561
"Kristiane";561
"Kristin";17003
"Kristina";4802
"Kristine";11135
"Krystyna";292
"Kseniia";279
"Laila";10010
"Lajla";223
"Lana";543
"Lara";725
"Larisa";262
"Larysa";476
"Laura";2395
"Lea";2482
"Leah";5027
"Leikny";.
"Leila";521
"Lejla";217
"Lena";6943
"Lene";9937
"Leni";307
"Leona";558
"Leonora";1000
"Lerke";220
"Leyla";317
"Liana";385
"Lidia";378
"Lidiia";228
"Lilian";315
"Liliana";404
"Liliia";342
"Lilja";791
"Lilje";219
"Lill";3877
"Lilli";713
"Lillian";5479
"Lilly";3730
"Lily";846
"Lin";516
"Lina";3318
"Linda";15162
"Lindis";258
"Line";10209
"Linea";923
"Linn";9408
"Linnea";5904
"Lisa";5514
"Lisbet";764
"Lisbeth";5528
"Lise";8986
"Liss";793
