"Harald";12523
"Haris";238
"Harry";1721
"Hasan";722
"Hassan";1511
"Hauk";320
"Heine";1256
"Helge";10725
"Helmer";583
"Henning";5221
"Henri";205
"Henrik";17220
"Henry";2506
"Henryk";261
"Herman";5514
"Hermann";674
"Hermod";343
"Hilmar";386
"Hjalmar";481
"Hogne";374
"Holger";287
"Hubert";350
"Hugo";1738
"Hussain";241
"Hussein";839
"Håkon";13531
"Håvar";495
"Håvard";9254
"Ian";676
"Ibrahim";2047
"Idar";1225
"Idris";326
"Igor";791
"Ihor";719
"Illia";466
"Ilyas";352
"Imad";209
"Imran";413
"Imre";520
"Ingar";1618
"Inge";4496
"Ingebrigt";323
"Ingmar";248
"Ingolf";374
"Ingvald";495
"Ingvar";1021
"Ingve";348
"Ioan";233
"Ion";241
"Ionut";277
"Ireneusz";253
"Isa";331
"Isaac";589
"Isac";538
"Isak";7252
"Ismail";875
"Ivan";2938
"Ivar";7803
"Iver";4065
"Ivo";376
"Jacek";1216
"Jack";1021
"Jacob";4199
"Jahn";630
"Jakob";7515
"Jakub";1605
"Jamal";445
"James";1039
"Jamie";233
"Jan";48118
"Jan-Erik";.
"Janis";442
"Jann";480
"Janusz";587
"Jaran";222
"Jarand";307
"Jardar";275
"Jarl";1571
"Jarle";6043
"Jaroslaw";1023
"Jason";326
"Jean";663
"Jens";8752
"Jeppe";513
"Jerzy";437
"Jesper";3603
"Jim";1733
"Jimmy";623
"Jo";2473
"Joachim";3780
"Joacim";371
"Joakim";7029
"Joao";279
"Joar";1401
"Joel";906
"Johan";9877
"Johann";432
"Johannes";9593
"John";18532
"Johnny";4272
"Jomar";258
"Jon";16038
"Jonah";450
"Jonas";15925
"Jonatan";1097
"Jonathan";4498
"Jone";1224
"Jonn";216
"Jonny";2483
"Jorge";384
"Jose";1032
"Josef";770
"Joseph";679
"Joshua";492
"Jostein";5644
"Jozef";425
"Juan";824
"Julian";4420
"Julius";604
"Justin";273
"Jøran";859
"Jørg";207
"Jørgen";10935
"Jørn";6013
"Jørund";496
"Kaare";379
"Kacper";706
"Kai";5109
"Kaj";349
"Kamal";248
"Kamil";1269
"Karim";387
"Karl";8717
"Karol";752
"Karolis";258
"Karstein";630
"Karsten";1710
"Kasper";4829
"Kato";265
"Kay";925
"Kazimierz";235
"Ken";1811
"Kenan";225
"Kennet";282
"Kenneth";9357
"Kenny";235
"Kent";2788
"Kestutis";323
"Ketil";2422
"Kevin";4554
"Khaled";639
"Khalid";701
"Khalil";292
"Kian";428
"Kim";9004
"Kim-Andre";.
"Kjartan";1179
"Kjell";23672
"Kjetil";10173
"Klaus";765
"Knut";22868
"Kolbjørn";805
"Konrad";1618
"Konstantin";224
"Kornelius";406
"Kostiantyn";351
"Kristen";652
"Krister";759
"Kristian";16550
"Kristoffer";10169
"Krystian";556
"Krzysztof";2936
"Kurt";3394
"Kyrre";910
"Kyrylo";303
"Kåre";6795
"Lars";31280
"Lars-Erik";.
"Lasse";5519
"Laurits";417
"Lauritz";487
"Lavrans";639
"Leander";2709
"Leif";11065
"Leiv";972
"Lennart";516
"Leo";3427
"Leon";4912
"Leonard";879
"Leonardo";382
"Leonel";219
"Leszek";385
"Levi";1432
"Liam";5238
"Liban";222
"Linas";298
"Linus";2140
"Lionel";239
"Loke";727
"Lorentz";248
"Louie";295
"Louis";544
"Luca";974
"Lucas";5481
"Ludvig";3419
"Ludvik";1666
"Luis";822
"Luka";685
"Lukas";4919
"Lukasz";2074
"Luke";245
"Lyder";309
"Maciej";1200
"Mads";4439
"Magnar";2120
"Magne";7415
"Magnus";17886
"Mahad";239
"Mahamed";358
"Mahdi";299
"Mahmoud";846
"Maksim";252
"Maksym";1221
"Maksymilian";291
"Malik";305
"Malvin";514
"Mantas";485
"Manuel";415
"Marc";281
"Marcel";607
"Marcin";2505
"Marco";797
"Marcus";5915
"Marek";1719
"Marian";484
"Mario";697
"Marius";16957
"Mariusz";1672
"Mark";1167
"Marko";588
"Markus";8620
"Marlon";251
"Martin";22259
"Martinius";238
"Martinus";391
"Martynas";246
"Marvin";328
"Matas";256
"Mateo";720
"Mateusz";1496
"Matheo";3628
"Matheus";315
"Mathias";12749
"Mathis";247
"Matias";1561
"Mats";7290
"Matteo";492
"Matteus";240
"Matthew";523
"Matthias";325
"Mattias";523
"Mattis";907
"Matvii";246
"Max";2750
"Maxim";253
"Maximilian";615
"Maximillian";200
"Md";268
"Mehdi";334
"Mehmet";606
"Melvin";557
"Michael";5223
"Michal";2290
"Michel";217
"Miguel";434
"Mihai";267
"Mika";366
"Mikael";3120
"Mikail";254
"Mikal";913
"Mike";287
"Mikhail";.
"Mikkel";4764
"Mikolaj";346
"Milan";858
"Milian";722
"Milo";223
"Milos";239
"Mindaugas";636
"Minh";295
"Mio";964
"Miran";224
"Miroslav";233
"Miroslaw";716
"Mohamad";1848
"Mohamed";3725
"Mohammad";5769
"Mohammed";3322
"Mons";485
"Morgan";673
"Morten";21520
"Mostafa";347
"Muhammad";3163
"Muhammed";527
"Murat";233
"Mustafa";1447
"Mykhailo";803
"Mykola";805
"Mykyta";370
"Narve";269
"Natan";302
"Nataniel";216
"Nathan";424
"Nathaniel";1033
"Natnael";219
"Nazar";326
"Neil";201
"Neo";305
"Nerijus";340
"Nichlas";200
"Nicholas";1456
"Nicklas";886
"Niclas";485
"Nicolai";3046
"Nicolas";965
"Nicolay";865
"Niels";645
"Nikita";486
"Niklas";2336
"Nikodem";259
"Nikola";453
"Nikolai";4522
"Nikolas";610
"Nikolay";371
"Nils";12548
"Njål";600
"Noa";433
"Noah";7690
"Noel";554
"Norbert";280
"Normann";208
"Norvald";436
"Odd";17486
"Oddbjørn";2262
"Oddgeir";685
"Oddleif";.
"Oddmund";1023
"Oddvar";3804
"Oddvin";317
"Odin";4015
"Ola";9388
"Olaf";1831
"Olai";1177
"Olav";14785
"Ole";33521
"Ole-Christian";.
"Ole-Jørgen";.
"Ole-Kristian";.
"Ole-Martin";.
"Ole-Petter";.
"Oleg";295
"Oleh";578
"Oleksandr";2801
"Oleksii";798
"Oliver";9390
"Olivier";288
"Olve";592
"Omar";1944
"Omer";243
"Omid";240
"Oscar";4375
"Oskar";5931
"Osman";607
"Osvald";206
"Ottar";1385
"Otto";1726
"Ove";5519
"Paal";961
"Pablo";253
"Patrick";3229
"Patrik";832
"Patryk";828
"Paul";4487
"Paulius";328
"Pavel";312
"Pavlo";490
"Pawel";2598
"Peder";3896
"Pedro";383
"Pelle";331
"Per";35630
"Per-Arne";.
"Per-Erik";.
"Petar";206
"Peter";4970
"Petter";10182
"Philip";3391
"Phillip";990
"Pierre";233
"Piotr";3219
"Preben";2140
"Przemyslaw";858
"Pål";9324
"Radoslaw";601
"Rafael";529
"Rafal";1477
"Ragnar";3849
"Ragnvald";438
"Rainer";222
"Ralf";.
"Rami";244
"Ramunas";252
"Raphael";202
"Rasmus";1711
"Ravn";282
"Rayan";451
"Raymond";2908
"Reidar";4772
"Remi";1536
"Remy";407
"Rene";848
"Reza";332
"Ricardo";296
"Richard";3153
"Rikard";507
"Rino";350
"Roald";2531
"Roar";6308
"Robel";215
"Robert";8266
"Robertas";223
"Roberto";276
"Robin";5192
"Roger";8452
"Roland";264
"Rolandas";260
"Rolf";11174
"Rolv";435
"Roman";1514
"Romeo";200
"Ronald";956
"Ronnie";342
"Ronny";5572
"Roy";7410
"Ruben";3304
"Rudi";535
"Rudolf";272
"Runar";3327
"Rune";18459
"Ruslan";469
"Ryan";407
"Ryszard";400
"Saad";202
"Said";758
"Salah";251
"Saleh";224
"Salman";260
"Sam";704
"Sami";430
"Samir";566
"Samson";326
"Samuel";3458
"Sander";10423
"Saulius";356
"Sayed";238
"Scott";678
"Sean";603
"Sebastian";10587
"Selmer";286
"Sergio";236
"Serhii";1521
"Severin";468
"Seyed";225
"Sigbjørn";1808
"Sigfred";.
"Sigmund";2575
"Sigurd";7569
"Sigvald";.
"Sigvart";.
"Sigve";1745
"Silas";649
"Simen";8684
"Simon";5853
"Sindre";7688
"Sivert";3099
"Sjur";1343
"Skjalg";272
"Slawomir";923
"Snorre";1736
"Solomon";234
"Sondre";9644
"Stanislav";384
"Stanislaw";658
"Stefan";2321
"Steffan";204
"Steffen";3790
"Stein";9709
"Steinar";10119
"Sten";1635
"Stephan";508
"Stephen";600
"Steve";378
"Steven";629
"Stian";15255
"Stig";9586
